price,link,title,location,description,attributes
"$2,900.00",/v-apartments-condos/vancouver/rental-move-in-july-15-2024/1695067981,"Rental move-in July 15, 2024",Vancouver,"North Nanaimo, Walking distant to Dover Bay Secondary and McGirr elementary schools and medical and blood test laboratory and dental clinic. 5 minutes drive to Nanaimo mall. Shared laundry with below ...","{'Nearest intersection': 'West 70th Avenue / Cartier Street', 'Bedrooms': '3', 'Bathrooms': '1', 'Unit type': 'Duplex/Triplex', 'Parking included': '2', 'Size (sqft)': '1300sqft'}"
$850.00,/v-apartments-condos/vancouver/furnished-bedroom-near-41-430-r4-26-49-bus-stops/1695066476,"Furnished bedroom near 41, 430, R4, 26, 49 Bus Stops",Vancouver,Furnished bedroom available on July 1st. Located in a quiet and safe residential neighborhood of Killarney. Female tenant only because the other tenants are female. Looking for tenant who is quiet ...,"{'Nearest intersection': 'East 41st Avenue / Kerr Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '1234sqft'}"
"$2,400.00",/v-apartments-condos/vancouver/furnished-2br-1-bath-suite-in-killarney-available-now/1695065912,Furnished 2BR 1 Bath Suite in Killarney - AVAILABLE NOW,Vancouver,"Furnished 2 bedroom, 1 bathroom and 1 kitchen basement suite available for rent anytime. Located in a quiet and safe residential neighborhood. Searching for two tenants, but also open to three ...","{'Nearest intersection': 'East 41st Avenue / Kerr Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '1234sqft'}"
"$3,640.00",/v-apartments-condos/vancouver/century-2-bedrooms-apartment-for-rent/1690225320,Century - 2 Bedrooms Apartment for Rent,North Vancouver,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker's paradise as the ...","{'Nearest intersection': 'East 13th Street / St Andrews Avenue', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '726sqft'}"
"$2,100.00",/v-apartments-condos/delta-surrey-langley/furnished-1-bed-1-bath-apartment/1695065512,Furnished 1 Bed 1 Bath Apartment,Surrey,Available from July 10 for 1 year lease @ $2100/Mo. - Building Parking and storage included - 24 Hours Concierge. - Includes Building Amenities - Fitness Centre / Swimming Pool / Tennis Court / ...,"{'Nearest intersection': 'Old McLellan Road / 57 Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '512sqft'}"
"$2,975.00",/v-apartments-condos/delta-surrey-langley/brand-new-condo-for-rent-2-bed-1-bath-on-140st-96ave/1695063886,Brand new Condo for rent 2 bed 1 bath on 140st 96ave,Delta/Surrey/Langley,"Brand new move in ready condo 2 beds + 1 bath with underground parking and separate storage unit. Near King George station, Surrey Memorial Hospital and Jim Pattison, Central City etc. Location: Oak ...","{'Nearest intersection': '96 Avenue / 140 Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': None}"
"$2,500.00",/v-apartments-condos/burnaby-new-westminster/exciting-rental-opportunity-in-metrotown-area/1695063196,Exciting Rental Opportunity in Metrotown Area,Burnaby,2 Bedroom 2 Full Bathroom Basement Suite for Rent! Ready to move in as soon as May 15th! This spacious and modern 2-bedroom basement suite features: ✨ 2 Full Bathrooms – Convenience and privacy for ...,"{'Nearest intersection': 'Rumble Street / McGregor Avenue', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Basement', 'Parking included': '0', 'Size (sqft)': '800sqft'}"
"$2,800.00",/v-apartments-condos/north-shore/1-bed-1-bath-furnished-basement-suite/1695063009,1 bed 1 bath furnished basement suite,North Vancouver,"1 bed + 1 bath spacious walk out suite. Furnished with bed, sofabed, dining table, TV, coffee table, towels, kitchen supplies, more can be negotiated. Close to elementary school, grocery stores, ...","{'Nearest intersection': 'Marine Drive / Bridgman Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '1', 'Size (sqft)': '700sqft'}"
"$2,380.00",/v-apartments-condos/vancouver/century-studio-apartment-for-rent/1690225318,Century - Studio Apartment for Rent,North Vancouver,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker's paradise as the ...","{'Nearest intersection': 'East 13th Street / St Andrews Avenue', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '456sqft'}"
"$2,400.00",/v-apartments-condos/vancouver/century-1-bedroom-apartment-for-rent/1690225316,Century - 1 Bedroom Apartment for Rent,North Vancouver,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker's paradise as the ...","{'Nearest intersection': 'East 13th Street / St Andrews Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '472sqft'}"
"$2,195.00",/v-apartments-condos/delta-surrey-langley/berry-road-apartments-2-bdrm-available-at-5411-208-street-l/1684534061,"Berry Road Apartments - 2 Bdrm available at 5411 - 208 Street, L",Delta/Surrey/Langley,"Visit our Website: https://www.capreit.ca/apartments-for-rent/langley-bc/berry-road-apartments/ Located on the brim of Nikomel Park in Langley, this location offers you a quiet neighborhood while ...","{'Nearest intersection': 'Douglas Crescent / 208 Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '874sqft'}"
"$2,890.00",/v-apartments-condos/vancouver/2-890-1br-505ft2-2-890-777-richards-st-telus-garden-pet/1695062303,"$2,890 / 1br - 505ft2 - $2,890 777 Richards St. Telus Garden pet",Vancouver,"Welcome to Telus Garden! This prime home has the most sought after layout of all the one bedroom & den units. Unobstructed views all the way to Burnaby from the kitchen, dinning area and bedroom, ...","{'Nearest intersection': 'Richards Street / Robson Street', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '505sqft'}"
"$3,450.00",/v-apartments-condos/vancouver/rare-luxury-olympic-village-condo/1695061922,Rare Luxury Olympic Village Condo,Vancouver,"Available December 1, 2024 - March 31, 2025 4-month rental agreement 1, 2, or 3-month rental may be possible This rare, architect-designed condo in the heart of Olympic Village offers many modern ...","{'Nearest intersection': 'Quebec Street / East 1st Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '674sqft'}"
"$1,800.00",/v-apartments-condos/tricities-pitt-maple/2-bedroom-basement-suite/1695061168,2 bedroom basement suite,Maple Ridge,Spacious 2 bedroom basement suite in quiet Rock Ridge area in Maple Ridge close to nature trails and bus route prefer quiet working couple,"{'Nearest intersection': 'Fern Crescent / 129 Avenue', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '2', 'Size (sqft)': '1375sqft'}"
"$2,750.00",/v-apartments-condos/vancouver/downtown-apartment-furnished/1695059778,Downtown Apartment Furnished,Vancouver,Fantastic location walking distance from Waterfront Station. Den can easily be converted to a 2nd bedroom. No pets. No smoking. All utilities/internet included for a seamless move-in :) New EV ...,"{'Nearest intersection': 'West Pender Street / Seymour Street', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '700sqft'}"
"$1,200.00",/v-apartments-condos/vancouver-downtown-west-end/private-room-for-rent/1695059111,Private Room for rent,Vancouver,We are a couple looking for someone to share a 2 bedroom 1 bathroom house near Dunbar Loop. - Fully furnished - All utilities included - In suit Laundry - Wifi - Bus stop right outside the house - ...,"{'Nearest intersection': 'Southwest Marine Drive / Dunbar Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '1', 'Size (sqft)': '25000sqft'}"
"$4,800.00",/v-apartments-condos/vancouver/beautiful-furnished-coach-house-july-24-great-location/1695057383,"Beautiful furnished coach house July 24, great location",Vancouver,"If you're looking for a chic, stylish place... look no further. Beautifully furnished, upscale detached 3 bedroom 2 bath coach house located near Shaughnessy area. This loft style gem is designed ...","{'Nearest intersection': 'West 33rd Avenue / Laurel Street', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '1000sqft'}"
"$2,550.00",/v-apartments-condos/delta-surrey-langley/riverside-gardens-townhouses-3-bedroom-townhome-for-rent-langl/1692208952,Riverside Gardens Townhouses - 3 Bedroom Townhome for Rent Langl,Delta/Surrey/Langley,"Riverside Gardens Townhouses in Langley, BC are spacious, newly renovated two and three bedroom townhomes for rent with many upgrades inside and out. Improvements at Riverside Gardens, located at ...","{'Nearest intersection': '203 Street / 52 Avenue', 'Bedrooms': '3', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '0', 'Size (sqft)': '1054sqft'}"
"$2,450.00",/v-apartments-condos/delta-surrey-langley/encore-apartments-2-bedroom-apartment-for-rent-langley/1690975841,Encore Apartments - 2 Bedroom Apartment for Rent Langley,Delta/Surrey/Langley,"Type A Floor Plan - 895 sq ft. Cats allowed at Encore Building Overivew Enjoy luxury apartment living at Encore Apartments for rent in Langley, BC, conveniently located at 19899 55a Avenue, close to ...","{'Nearest intersection': '56 Avenue / 199 Street', 'Bedrooms': '2', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '895sqft'}"
"$3,800.00",/v-apartments-condos/delta-surrey-langley/2-bed-den-2-bath-in-white-rock-bc/1693638659,"2 bed + den, 2 bath in White Rock, BC",White Rock,"UNIT Corner unit (facing south west), 2nd floor, lots of light throughout the day. Great feature: very large den is placed on the corner and is surrounded by 6 windows. It is currently set up as an ...","{'Nearest intersection': 'Best Street / Vine Avenue', 'Bedrooms': '2.5', 'Bathrooms': '2', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '1200sqft'}"
"$1,900.00",/v-apartments-condos/ubc-university-british-columbia/1bed1bath-large-studio-suite-for-rent-near-ubc/1695055127,1Bed1Bath large Studio Suite for rent near UBC,Vancouver,"2 mins walk to bus station, 12 mins to UBC by bus. Convenient transportation. Independent entrance. Large space studio. Enjoy whole semi-basement facing South with sunshine. Quiet and peaceful ...","{'Nearest intersection': 'Blenheim Street / West 28th Avenue', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '1', 'Size (sqft)': '430sqft'}"
"$2,590.00",/v-apartments-condos/vancouver/heritage-one-bedroom-at-burrard-and-robson/1692945725,Heritage One-bedroom at Burrard and Robson,Vancouver,"Location, location, location! Live at the centre of it all in this New York City-style character building in the heart of downtown Vancouver. Here's the video: https://youtu.be/eMq3SdZud9A This ...","{'Nearest intersection': 'Burrard Street / Robson Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '623sqft'}"
"$2,400.00",/v-apartments-condos/burnaby-new-westminster/great-location-1-bed-den-for-rent-lougheedtowncenter-sfu/1693576562,Great location! 1 Bed + Den for rent -  LougheedTownCenter (SFU),Coquitlam,"Luxurious near new 1 bed & den 580 Sqft high-rise apartment located across from City of Lougheed Mall, next to Coquitlam college, 7 minutes drive to SFU Burnaby campus. Walking distance to Lougheed ...","{'Nearest intersection': 'Whiting Way / Brookmere Avenue', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '580sqft'}"
"$2,245.00",/v-apartments-condos/burnaby-new-westminster/skyview-apartments-1-bdrm-available-at-908-sixth-avenue-new-w/1686872272,"Skyview Apartments - 1 Bdrm available at 908 Sixth Avenue, New W",New Westminster,$500 Security Deposit Move in this month and you may qualify for our incentive. Visit our Website: https://www.capreit.ca/apartments-for-rent/new-westminster-bc/skyview-apartments/ Landscaped lobby ...,"{'Nearest intersection': 'Eighth Street / Sixth Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '595sqft'}"
"$2,250.00",/v-apartments-condos/vancouver/2-bedroom-suite-rental-heart-of-commercial-drive/1691006654,2 Bedroom Suite Rental - Heart of Commercial Drive,Vancouver,"2 Bedroom Suite, Heart of Commercial Drive, East Vancouver. Ideal for two adults and 1-2 children. Lower floor of heritage home. Shared laundry. New appliances, newly painted. $2250 per month. Plus ...","{'Nearest intersection': 'Commercial Drive / Kitchener Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '0', 'Size (sqft)': '750sqft'}"
"$3,600.00",/v-apartments-condos/tricities-pitt-maple/single-house-for-rent-in-maple-ridge/1693808029,Single house for rent in Maple Ridge,Maple Ridge,"12189, Creston st, this great family home is centrally located in the heart of West-Central Maple Ridge. Situated on a large, flat 100,000 sq ft lot, with nice landscaping and deck, east facing at ...","{'Nearest intersection': 'Laity Street / Campbell Avenue', 'Bedrooms': '3.5', 'Bathrooms': '2', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '1500sqft'}"
"$2,300.00",/v-apartments-condos/vancouver/near-ubc-arbutus-quilchena-1-bdrm-1bath-650-sqft/1695105973,Near UBC-Arbutus-Quilchena-1 Bdrm-1Bath/650 sqft,Vancouver,"Welcome to a clean & bright 650 sqft UNFURNISHED, private entrance, basement suite in a family home. Located in the desirable and safe neighbourhood of Quilchena/Arbutus, and 20 minutes from UBC ON ...","{'Nearest intersection': 'West King Edward Avenue / Brakenridge Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '0', 'Size (sqft)': '650sqft'}"
"$3,500.00",/v-apartments-condos/north-shore/modern-duplex-north-vancouver/1695053256,Modern Duplex (North Vancouver),North Vancouver,"Parking: Yes (2 plus street parking Storage Locker: No Utilities: No Description Fully renovated 2 bedroom, 1.5 bath top Floor with High ceilings and lots of natural lights! Feels like Home with a ...","{'Nearest intersection': 'West Keith Road / Forbes Avenue', 'Bedrooms': '2', 'Bathrooms': '1.5', 'Unit type': 'Duplex/Triplex', 'Parking included': '2', 'Size (sqft)': '1000sqft'}"
"$2,500.00",/v-apartments-condos/vancouver/1-bed-1-bath-next-to-seawall/1695052843,1 Bed/ 1 Bath Next to Seawall,Vancouver,"For rent is a second floor one bedroom and one bathroom apartment. This apartment has a full kitchen, 4-piece bathroom, and covered balcony (propane BBQs permitted). The living room/ balcony faces ...","{'Nearest intersection': 'West 6th Avenue / West 2nd Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '700sqft'}"
"$4,200.00",/v-apartments-condos/ubc-university-british-columbia/ubc-luxury-seaview-south-facing-corner-unit-rent/1695052028,UBC Luxury Seaview South Facing Corner Unit Rent,Vancouver,"Enjoy luxury living in this brand new high floor 1 bedroom, 1 bathroom corner unit at West Wind by Polygon at UBC. Immerse yourself in the spectacular vistas of the North Shore mountains, Burrard ...","{'Nearest intersection': 'University Boulevard / Toronto Road', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '565sqft'}"
"$1,600.00",/v-apartments-condos/vancouver/suite-for-rent-near-broadway-skytrain/1694598593,Suite for rent near Broadway skytrain,Burnaby,"Beautiful suite for rent near trout lake and broadway skytrain station, fully renovated and ready to move in. No pets or smoking. Street parking available.","{'Nearest intersection': 'Kincaid Street / Ingleton Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '500sqft'}"
"$2,900.00",/v-apartments-condos/vancouver/1-bedroom-1-bathroom-in-format/1695050940,1 bedroom 1 bathroom in Format,Vancouver,Beautifully built home by Cressey developments -1 bedroom with extra closet storage & 1 bathroom with walk in frameless glass shower -611 sq ft -corner unit with tons of extra windows -in suite ...,"{'Nearest intersection': 'Kingsway / Dumfries Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '611sqft'}"
"$2,600.00",/v-apartments-condos/delta-surrey-langley/2-bedroom-den-2-bathroom-condo-for-rent/1695048993,2 bedroom / Den / 2 bathroom condo for rent,Surrey,"Peninsula Property Management are pleased to present a Brand New Development - The Grove. Located in South Surrey's Morgan Heights neighborhood, walking distance to local shops, parks and schools. ...","{'Nearest intersection': '24 Avenue / 167 Street', 'Bedrooms': '2.5', 'Bathrooms': '2', 'Unit type': 'Condo', 'Parking included': '0', 'Size (sqft)': '871sqft'}"
"$4,800.00",/v-apartments-condos/burnaby-new-westminster/duplex-for-rent/1695046997,Duplex for Rent,Burnaby,"Great Burnaby Location, minutes from Metropolis shopping center, schools, and Deer Lake. Very private fenced front and back yard, abundant parking. Best attachment schools: Marlborough Elementary ...","{'Nearest intersection': 'Buxton Street / Royal Oak Avenue', 'Bedrooms': '4.5', 'Bathrooms': '4', 'Unit type': 'Duplex/Triplex', 'Parking included': '3', 'Size (sqft)': '2068sqft'}"
"$2,500.00",/v-apartments-condos/burnaby-new-westminster/2-beds-1-bath-apartment/1695046024,2 Beds 1 Bath - Apartment,Port Moody,"Renovated 2 bedroom suite available for JULY 1st . 1200 Sq ft Very quiet unit. All brand new appliances, and a HUGE balcony. Water and parking included In the rent price. Hydro- responsibility of the ...","{'Nearest intersection': 'St Johns Street / Mary Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '1200sqft'}"
"$5,000.00",/v-apartments-condos/richmond-bc/5-000-4br-2607ft2-4-bedroom-3-bath-home-on-north-stevston/1695044934,"$5,000 / 4br - 2607ft2 - 4 Bedroom 3 Bath Home on North Stevston",Richmond,"This beautiful house is located in Richmond Steveston Close to bus stop, schools, restaurants, cafe and groceries. This is 4 bedroom, 3 bathroom family home. This 4,561 SF south facing rectangular ...","{'Nearest intersection': 'Williams Road / Hollycroft Gate', 'Bedrooms': '4', 'Bathrooms': '3', 'Unit type': 'House', 'Parking included': '2', 'Size (sqft)': '2607sqft'}"
"$2,399.00",/v-apartments-condos/vancouver-downtown-west-end/855-jervis-apartment-for-rent-in-west-end-vancouver/1695044752,855 Jervis - Apartment for Rent in West End Vancouver,Vancouver,"Welcome to 855 Jervis, a conveniently situated community in Vancouver's West End, just a short stroll away from the bustling Robson Street, where you'll find a wealth of dining and shopping options, ...","{'Nearest intersection': 'Robson Street / Jervis Street', 'Bedrooms': '0', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '449sqft'}"
"$1,580.00",/v-apartments-condos/burnaby-new-westminster/master-bedroom-inside-a-three-bedroom-apartment-for-rent/1695038640,Master bedroom inside a three bedroom apartment for rent,Burnaby,"One bedroom inside a 3 bedroom 2 bathroom for rent in a brand new apartment located near Metrotown, Furnished, pets friendly, 3 minutes walk from Metrotown skytrain station and 5 minutes walk away ...","{'Nearest intersection': 'Beresford Street / Telford Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '1149sqft'}"
"$1,200.00",/v-apartments-condos/richmond-bc/one-room-for-rent-in-lansrooms-cando/1695036302,One room for rent in lansroom's cando,Richmond,"One of the prime locations in Richmond's Lansdowne area. Address: 5088 Kwantlen Street postal code V6X 4K5, next to Kwantlen Polytechnic University. The surrounding amenities are comprehensive. ...","{'Nearest intersection': 'Alderbridge Way / Kwantlen Street', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '860sqft'}"
"$3,850.00",/v-apartments-condos/vancouver/luxury-2-bed-in-oakridge-vancouver/1695035511,Luxury 2 Bed in Oakridge Vancouver,Vancouver,"- 3 min walk to Langara College & Oakridge shopping centre - 16 min train ride to DT Vanvouver. 36 min direct bus to UBC - Air-Condition (cooling & heating) - 9ft ceiling, laminated floor in the ...","{'Nearest intersection': 'Cambie Street / West 48th Avenue', 'Bedrooms': '2.5', 'Bathrooms': '2', 'Unit type': 'Condo', 'Parking included': '1', 'Size (sqft)': '989sqft'}"
"$2,100.00",/v-apartments-condos/delta-surrey-langley/1br-surrey-center-brand-new-one-bed-plus-den-for-rent/1695033415,1br - Surrey center brand new one bed plus den for rent,Surrey,"Surrey Center Brand new one-bedroom and Den apartment for rent near King George Skytrain. Spacious and bright, square-shaped, well-planned, address 3rd floor 13969 96 Avenue Surrey , quiet location ...","{'Nearest intersection': '96 Avenue / 140 Street', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '1', 'Size (sqft)': '575sqft'}"
"$2,650.00",/v-apartments-condos/vancouver/laneway-house-for-rent/1695033032,Laneway house for Rent,Vancouver,Laneway house in Fraser/47 area,"{'Nearest intersection': 'Fraser Street / East 47th Avenue', 'Bedrooms': '2', 'Bathrooms': '1.5', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '750sqft'}"
"$2,600.00",/v-apartments-condos/vancouver/2-beds-one-bath-ground-level-suite/1695032261,2 beds one bath ground level suite,Vancouver,"Nice and clean 2 bedroom ground level suite in East Vancouver. Close to all amenities including shops, restaurants, bus stops and many more. Only minutes away from Langara college. This suite is ...","{'Nearest intersection': 'East 57th Avenue / Prince Edward Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '2', 'Size (sqft)': '580sqft'}"
"$3,375.00",/v-apartments-condos/delta-surrey-langley/fraser-landing-apartments-2-bedroom-townhouse-apartment-for-re/1695010456,Fraser Landing Apartments - 2 Bedroom Townhouse Apartment for Re,Surrey,"New Construction! Now Open. Apply here today! Surrey is home to Kelson Group's newest apartment development, Fraser Landing Apartments. This 118 suite, 5-storey building is just steps away from ...","{'Nearest intersection': '104 Avenue / 145A Street', 'Bedrooms': '2', 'Bathrooms': '2.5', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '1391sqft'}"
"$4,500.00",/v-apartments-condos/vancouver/the-lonsdale-3-bedroom-apartment-for-rent/1695010754,The Lonsdale - 3 Bedroom Apartment for Rent,North Vancouver,"The Lonsdale offers a collection of one, two and three-bedroom pet-friendly* rentals. Each unit is equipped with a spacious private balcony or patio, timeless West Coast design, in-suite laundry, and ...","{'Nearest intersection': 'Marine Drive / 13th Street', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '1002sqft'}"
"$1,600.00",/v-apartments-condos/burnaby-new-westminster/1-bedroom-suite-with-a-den-available-now/1695026714,1 Bedroom suite with a den Available now,Burnaby/New Westminster,"Looking for quiet, clean, responsible and professional Tenent. This suite is best suited for a single mature professional. 1 bedroom basement suite plus a den. $1600/month includes all utilities, ...","{'Nearest intersection': 'Dundas Street / Ranelagh Avenue', 'Bedrooms': '1.5', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '1', 'Size (sqft)': '800sqft'}"
"$1,900.00",/v-apartments-condos/delta-surrey-langley/newly-renovated-legal-ground-floor-basement-suite-for-rent/1695026017,Newly renovated legal ground floor basement suite for rent!,Delta,"Newly renovated ground floor suite for rent. New laminate flooring, moldings, paint and brand new bathroom. Large kitchen with nook. Close to transit, recreation center, elementary and high schools. ...","{'Nearest intersection': '112 Street / 80 Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '1', 'Size (sqft)': '950sqft'}"
"$1,550.00",/v-apartments-condos/delta-surrey-langley/surrey-central-furnished-1-private-bedroom-1-private-bathroom/1695026468,Surrey Central furnished 1 private bedroom+1 private bathroom,Surrey,furnished 1 private bedroom+1 private bathroom for rent in a large 2 bed/2 bath apartment(900 SF) This 1 private bedroom+1 private bathroom is fully furnished and has 2 private closets. It is most ...,"{'Nearest intersection': 'University Drive / 102 Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '450sqft'}"
"$2,725.00",/v-apartments-condos/vancouver/the-lonsdale-1-bedroom-apartment-for-rent/1695010745,The Lonsdale - 1 Bedroom Apartment for Rent,North Vancouver,"The Lonsdale offers a collection of one, two and three-bedroom pet-friendly* rentals. Each unit is equipped with a spacious private balcony or patio, timeless West Coast design, in-suite laundry, and ...","{'Nearest intersection': 'Marine Drive / 13th Street', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '500sqft'}"
"$1,750.00",/v-apartments-condos/vancouver/all-included-vancouver-downtown-apartment-for-rent/1688853564,All included-Vancouver Downtown Apartment for Rent,Vancouver,"Saving your money package (we provide furniture) 100% new apartment ( new 5 appliances) All included Wifi, water, heating and utility /pay parking. The skytrain next door (waterfront station) we ...","{'Nearest intersection': 'Blanca Street / West 16th Avenue', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '450sqft'}"
"$1,800.00",/v-apartments-condos/delta-surrey-langley/new-1-bedroom-coach-house/1695023706,NEW 1 bedroom coach house,Delta/Surrey/Langley,Private coach house with seperate entrance. 1 bedroom + 1 bath available immediately in guildford Utilties included 5 minutes from Guildford Mall 8 minutes to surrey central No laundry Rent : 1800 ...,"{'Nearest intersection': 'Surrey Road / Wellington Drive', 'Bedrooms': '1', 'Bathrooms': '1', 'Unit type': 'House', 'Parking included': '1', 'Size (sqft)': '1000sqft'}"
"$1,850.00",/v-apartments-condos/delta-surrey-langley/2-bdrm-1-bath-basement-suite-clayton-heights/1695022800,2 bdrm/1 bath Basement Suite (Clayton Heights),Delta/Surrey/Langley,"Offering a 2 bedroom basement suite for rent in Clayton Heights area starting June 1, 2024. Laundry Included. -Great room layout combines the kitchen with the living room for seamless entertainment. ...","{'Nearest intersection': '192 Street / 192 Divers Street', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Basement', 'Parking included': '0', 'Size (sqft)': '800sqft'}"
"$2,722.00",/v-apartments-condos/burnaby-new-westminster/2-bedroom-apartment-for-rent-9502-erickson-drive/1694593319,2 Bedroom Apartment for Rent - 9502 Erickson Drive,Burnaby,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (778) 960-6568 9502 Erickson Drive in Burnaby offers ...","{'Nearest intersection': 'Lougheed Highway / Bell Avenue', 'Bedrooms': '2', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '991sqft'}"
"$3,724.00",/v-apartments-condos/burnaby-new-westminster/3-bedroom-apartment-for-rent-9502-erickson-drive/1692209086,3 Bedroom Apartment for Rent - 9502 Erickson Drive,Burnaby,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (778) 960-6568 9502 Erickson Drive in Burnaby offers ...","{'Nearest intersection': 'Lougheed Highway / Bell Avenue', 'Bedrooms': '3', 'Bathrooms': '2', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '1262sqft'}"
"$3,699.00",/v-apartments-condos/burnaby-new-westminster/3-bedroom-apartment-for-rent-9502-erickson-drive/1692209084,3 Bedroom Apartment for Rent - 9502 Erickson Drive,Burnaby,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (778) 960-6568 9502 Erickson Drive in Burnaby offers ...","{'Nearest intersection': 'Lougheed Highway / Bell Avenue', 'Bedrooms': '3', 'Bathrooms': '1', 'Unit type': 'Apartment', 'Parking included': '0', 'Size (sqft)': '1180sqft'}"
